set_code,name,subtitle,variant,card_number,aspect,arena,card_type,rarity
JTL,The Starhawk,Prototype Battleship,Foil Prestige,,,,,
JTL,The Starhawk,Prototype Battleship,Hyperspace Foil,,,,,
JTL,Theed Palace,,Hyperspace,,,,,
JTL,Theed Palace,,Standard,,,,,
JTL,There Is No Escape,,Standard Foil,,,,,
JTL,There Is No Escape,,Hyperspace,,,,,
JTL,There Is No Escape,,Standard,,,,,
JTL,There Is No Escape,,Hyperspace Foil,,,,,
JTL,Thermal Oscillator,,Standard Foil,,,,,
JTL,Thermal Oscillator,,Standard,,,,,
JTL,Thermal Oscillator,,Hyperspace,,,,,
JTL,Thermal Oscillator,,Hyperspace Foil,,,,,
JTL,They Hate That Ship,,Hyperspace Foil,,,,,
JTL,They Hate That Ship,,Standard Foil,,,,,
JTL,They Hate That Ship,,Hyperspace,,,,,
JTL,They Hate That Ship,,Standard,,,,,
JTL,TIE Ambush Squadron,,Hyperspace Foil,,,,,
JTL,TIE Ambush Squadron,,Standard Foil,,,,,
JTL,TIE Ambush Squadron,,Hyperspace,,,,,
JTL,TIE Ambush Squadron,,Standard,,,,,
JTL,TIE Bomber,,Hyperspace Foil,,,,,
JTL,TIE Bomber,,Standard Foil,,,,,
JTL,TIE Bomber,,Hyperspace,,,,,
JTL,TIE Bomber,,Standard,,,,,
JTL,TIE Dagger Vanguard,,Hyperspace,,,,,
JTL,TIE Dagger Vanguard,,Hyperspace Foil,,,,,
JTL,TIE Dagger Vanguard,,Standard Foil,,,,,
JTL,TIE Dagger Vanguard,,Standard,,,,,
JTL,Timely Reinforcements,,Standard Foil,,,,,
JTL,Timely Reinforcements,,Hyperspace Foil,,,,,
JTL,Timely Reinforcements,,Hyperspace,,,,,
JTL,Timely Reinforcements,,Standard,,,,,
JTL,Torpedo Barrage,,Hyperspace,,,,,
JTL,Torpedo Barrage,,Standard Foil,,,,,
JTL,Torpedo Barrage,,Hyperspace Foil,,,,,
JTL,Torpedo Barrage,,Standard,,,,,
JTL,Trace Martez,Trusting Sister,Hyperspace Foil,,,,,
JTL,Trace Martez,Trusting Sister,Standard Foil,,,,,
JTL,Trace Martez,Trusting Sister,Standard,,,,,
JTL,Trace Martez,Trusting Sister,Hyperspace,,,,,
JTL,Trench Run,,Hyperspace,,,,,
JTL,Trench Run,,Hyperspace Foil,,,,,
JTL,Trench Run,,Standard,,,,,
JTL,Trench Run,,Standard Foil,,,,,
JTL,Turbolaser Salvo,,Standard,,,,,
JTL,Turbolaser Salvo,,Hyperspace Foil,,,,,
JTL,Turbolaser Salvo,,Hyperspace,,,,,
JTL,Turbolaser Salvo,,Standard Foil,,,,,
JTL,Twin Laser Turret,,Hyperspace,,,,,
JTL,Twin Laser Turret,,Hyperspace Foil,,,,,
JTL,Twin Laser Turret,,Standard,,,,,
JTL,Twin Laser Turret,,Standard Foil,,,,,
JTL,U-Wing Lander,,Hyperspace,,,,,
JTL,U-Wing Lander,,Standard,,,,,
JTL,U-Wing Lander,,Hyperspace Foil,,,,,
JTL,U-Wing Lander,,Standard Foil,,,,,
JTL,Unity of Purpose,,Standard Foil,,,,,
JTL,Unity of Purpose,,Hyperspace,,,,,
JTL,Unity of Purpose,,Standard,,,,,
JTL,Unity of Purpose,,Hyperspace Foil,,,,,
JTL,Veteran Fleet Officer,,Hyperspace,,,,,
JTL,Veteran Fleet Officer,,Hyperspace Foil,,,,,
JTL,Veteran Fleet Officer,,Standard Foil,,,,,
JTL,Veteran Fleet Officer,,Standard,,,,,
JTL,Victor Leader,Leading from the Front,Serialized Prestige,,,,,
JTL,Victor Leader,Leading from the Front,Hyperspace Foil,,,,,
JTL,Victor Leader,Leading from the Front,Hyperspace,,,,,
JTL,Victor Leader,Leading from the Front,Standard,,,,,
JTL,Victor Leader,Leading from the Front,Standard Prestige,,,,,
JTL,Victor Leader,Leading from the Front,Standard Foil,,,,,
JTL,Victor Leader,Leading from the Front,Foil Prestige,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Hyperspace Foil,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Hyperspace,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Standard Prestige,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Foil Prestige,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Standard,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Standard Foil,,,,,
JTL,Vonreg's TIE Interceptor,Ace of the First Order,Serialized Prestige,,,,,
JTL,War Juggernaut,,Standard Foil,,,,,
JTL,War Juggernaut,,Hyperspace Foil,,,,,
JTL,War Juggernaut,,Hyperspace,,,,,
JTL,War Juggernaut,,Standard,,,,,
JTL,Wedge Antilles,Leader of Red Squadron,Showcase,,,,,
JTL,Wedge Antilles,Leader of Red Squadron,Standard,,,,,
JTL,Wedge Antilles,Leader of Red Squadron,Hyperspace,,,,,
JTL,Wing Guard Security Team,,Standard,,,,,
JTL,Wing Guard Security Team,,Hyperspace Foil,,,,,
JTL,Wing Guard Security Team,,Hyperspace,,,,,
JTL,Wing Guard Security Team,,Standard Foil,,,,,
JTL,Wingman Victor Three,Backstabber,Hyperspace Foil,,,,,
JTL,Wingman Victor Three,Backstabber,Standard Foil,,,,,
JTL,Wingman Victor Three,Backstabber,Standard,,,,,
JTL,Wingman Victor Three,Backstabber,Hyperspace,,,,,
JTL,Wingman Victor Two,Mauler Mithel,Hyperspace,,,,,
JTL,Wingman Victor Two,Mauler Mithel,Standard Foil,,,,,
JTL,Wingman Victor Two,Mauler Mithel,Standard,,,,,
JTL,Wingman Victor Two,Mauler Mithel,Hyperspace Foil,,,,,
JTL,X-34 Landspeeder,,Hyperspace Foil,,,,,
JTL,X-34 Landspeeder,,Hyperspace,,,,,
JTL,X-34 Landspeeder,,Standard Foil,,,,,
JTL,X-34 Landspeeder,,Standard,,,,,
JTL,You're All Clear,Kid,Hyperspace,,,,,
JTL,You're All Clear,Kid,Standard,,,,,
JTL,You're All Clear,Kid,Hyperspace Foil,,,,,
JTL,You're All Clear,Kid,Standard Foil,,,,,
JTL,Zygerrian Starhopper,,Hyperspace,,,,,
JTL,Zygerrian Starhopper,,Standard,,,,,
JTL,Zygerrian Starhopper,,Standard Foil,,,,,
JTL,Zygerrian Starhopper,,Hyperspace Foil,,,,,
JTLW,Anakin Skywalker,I'll Try Spinning,Weekly Play Foil,,,,,
JTLW,Anakin Skywalker,I'll Try Spinning,Weekly Play,,,,,
JTLW,BB-8,Happy Beeps,Weekly Play Foil,,,,,
JTLW,BB-8,Happy Beeps,Weekly Play,,,,,
JTLW,Boba Fett,Feared Bounty Hunter,Weekly Play Foil,,,,,
JTLW,Boba Fett,Feared Bounty Hunter,Weekly Play,,,,,
JTLW,Captain Tarkin,Full Forward Assault,Weekly Play,,,,,
JTLW,Captain Tarkin,Full Forward Assault,Weekly Play Foil,,,,,
JTLW,Cassian Andor,Threading the Eye,Weekly Play,,,,,
JTLW,Cassian Andor,Threading the Eye,Weekly Play Foil,,,,,
JTLW,Chewbacca,Faithful First Mate,Weekly Play Foil,,,,,
JTLW,Chewbacca,Faithful First Mate,Weekly Play,,,,,
JTLW,Director Krennic,On the Verge of Greatness,Weekly Play Foil,,,,,
JTLW,Director Krennic,On the Verge of Greatness,Weekly Play,,,,,
JTLW,Fett's Firespray,Feared Silhouette,Weekly Play Foil,,,,,
JTLW,Fett's Firespray,Feared Silhouette,Weekly Play,,,,,
JTLW,General Hux,"No Terms, No Surrender",Weekly Play Foil,,,,,
JTLW,General Hux,"No Terms, No Surrender",Weekly Play,,,,,
JTLW,Han Solo,Has His Moments,Weekly Play Foil,,,,,
JTLW,Han Solo,Has His Moments,Weekly Play,,,,,
JTLW,Hera Syndulla,We've Lost Enough,Weekly Play,,,,,
JTLW,Hera Syndulla,We've Lost Enough,Weekly Play Foil,,,,,
JTLW,IG-88,Murderous Phlutdroid,Weekly Play,,,,,
JTLW,IG-88,Murderous Phlutdroid,Weekly Play Foil,,,,,
JTLW,Leia Organa,"Pilots, To Your Stations",Weekly Play,,,,,
JTLW,Leia Organa,"Pilots, To Your Stations",Weekly Play Foil,,,,,
JTLW,Millennium Falcon,Get Out And Push,Weekly Play,,,,,
JTLW,Millennium Falcon,Get Out And Push,Weekly Play Foil,,,,,
JTLW,Onyx Squadron Brute,,Weekly Play,,,,,
JTLW,Onyx Squadron Brute,,Weekly Play Foil,,,,,
JTLW,Poe Dameron,One Hell of a Pilot,Weekly Play Foil,,,,,
JTLW,Poe Dameron,One Hell of a Pilot,Weekly Play,,,,,
JTLW,Red Five,Running the Trench,Weekly Play,,,,,
JTLW,Red Five,Running the Trench,Weekly Play Foil,,,,,
JTLW,Red Squadron Y-Wing,,Weekly Play Foil,,,,,
JTLW,Red Squadron Y-Wing,,Weekly Play,,,,,
JTLW,Shoot Down,,Weekly Play,,,,,
JTLW,Shoot Down,,Weekly Play Foil,,,,,
JTLW,Swarming Vulture Droid,,Weekly Play,,,,,
JTLW,Swarming Vulture Droid,,Weekly Play Foil,,,,,
LAW,“Staccato Lightning” Repeater,,Hyperspace,,,,,
LAW,“Staccato Lightning” Repeater,,Standard,,,,,
LAW,“Staccato Lightning” Repeater,,Hyperspace Foil,,,,,
LAW,0-0-0,Translation and Torture,Hyperspace,,,,,
LAW,0-0-0,Translation and Torture,Hyperspace Foil,,,,,
LAW,0-0-0,Translation and Torture,Standard,,,,,
LAW,4-LOM,Devious,Hyperspace,,,,,
LAW,4-LOM,Devious,Hyperspace Foil,,,,,
LAW,4-LOM,Devious,Standard,,,,,
LAW,Admiral Motti,Chain of Command,Hyperspace,,,,,
LAW,Admiral Motti,Chain of Command,Hyperspace Foil,,,,,
LAW,Admiral Motti,Chain of Command,Standard,,,,,
LAW,Adventurer Sniper Rifle,,Standard,,,,,
LAW,Adventurer Sniper Rifle,,Hyperspace,,,,,
LAW,Adventurer Sniper Rifle,,Hyperspace Foil,,,,,
LAW,Aerie,Cloud-Rider Dropship,Hyperspace,,,,,
LAW,Aerie,Cloud-Rider Dropship,Standard,,,,,
LAW,Aerie,Cloud-Rider Dropship,Hyperspace Foil,,,,,
LAW,Agent Kallus,Reconsider Your Allegiance,Standard,,,,,
LAW,Agent Kallus,Reconsider Your Allegiance,Showcase,,,,,
LAW,Agent Kallus,Reconsider Your Allegiance,Hyperspace,,,,,
LAW,Aldhani Garrison,,Standard,,,,,
LAW,Aldhani Garrison,,Hyperspace,,,,,
LAW,Alkenzi Patroller,,Standard,,,,,
LAW,Alkenzi Patroller,,Hyperspace,,,,,
LAW,Alkenzi Patroller,,Hyperspace Foil,,,,,
LAW,Alliance Outpost,,Hyperspace,,,,,
LAW,Alliance Outpost,,Standard,,,,,
LAW,Alliance Outpost,,Hyperspace Foil,,,,,
LAW,Alliance X-Wing,,Standard,,,,,
LAW,Alliance X-Wing,,Hyperspace Foil,,,,,
LAW,Alliance X-Wing,,Hyperspace,,,,,
LAW,Anakin Skywalker,Prescient Podracer,Hyperspace,,,,,
LAW,Anakin Skywalker,Prescient Podracer,Standard,,,,,
LAW,Anakin Skywalker,Prescient Podracer,Hyperspace Foil,,,,,
LAW,Anakin's Podracer,So Wizard!,Hyperspace,,,,,
LAW,Anakin's Podracer,So Wizard!,Standard,,,,,
LAW,Anakin's Podracer,So Wizard!,Hyperspace Foil,,,,,
LAW,Artful Pickpocket,,Hyperspace,,,,,
LAW,Artful Pickpocket,,Standard,,,,,
LAW,Artful Pickpocket,,Hyperspace Foil,,,,,
LAW,Arvel Skeen,Win and Walk Away,Hyperspace,,,,,
LAW,Arvel Skeen,Win and Walk Away,Standard,,,,,
LAW,Arvel Skeen,Win and Walk Away,Hyperspace Foil,,,,,
LAW,Asajj Ventress,Reluctant Hunter,Standard,,,,,
LAW,Asajj Ventress,Reluctant Hunter,Serialized Prestige,,,,,
LAW,Asajj Ventress,Reluctant Hunter,Foil Prestige,,,,,
LAW,Asajj Ventress,Reluctant Hunter,Standard Prestige,,,,,
LAW,Asajj Ventress,Reluctant Hunter,Hyperspace,,,,,
LAW,Asajj Ventress,Reluctant Hunter,Hyperspace Foil,,,,,
LAW,Attack From All Sides,,Hyperspace,,,,,
LAW,Attack From All Sides,,Standard,,,,,
LAW,Attack From All Sides,,Hyperspace Foil,,,,,
LAW,Aurra Sing,Assassin,Showcase,,,,,
LAW,Aurra Sing,Assassin,Hyperspace,,,,,
LAW,Aurra Sing,Assassin,Standard,,,,,
LAW,B-Wing Skirmisher,,Hyperspace,,,,,
LAW,B-Wing Skirmisher,,Standard,,,,,
LAW,B-Wing Skirmisher,,Hyperspace Foil,,,,,
LAW,Backed by the Hutts,,Standard,,,,,
LAW,Backed by the Hutts,,Hyperspace Foil,,,,,
LAW,Backed by the Hutts,,Hyperspace,,,,,
LAW,Bank Job Fugitives,,Hyperspace Foil,,,,,
LAW,Bank Job Fugitives,,Hyperspace,,,,,
LAW,Bank Job Fugitives,,Standard,,,,,
LAW,Baze Malbus,Good Luck,Serialized Prestige,,,,,
LAW,Baze Malbus,Good Luck,Foil Prestige,,,,,
LAW,Baze Malbus,Good Luck,Standard Prestige,,,,,
LAW,Baze Malbus,Good Luck,Standard,,,,,
LAW,Baze Malbus,Good Luck,Hyperspace,,,,,
LAW,Baze Malbus,Good Luck,Hyperspace Foil,,,,,
LAW,Beach Patrol AT-ACT,,Hyperspace,,,,,
LAW,Beach Patrol AT-ACT,,Hyperspace Foil,,,,,
LAW,Beach Patrol AT-ACT,,Standard,,,,,
LAW,Beilert Valance,Target: Vader,Standard,,,,,
LAW,Beilert Valance,Target: Vader,Hyperspace,,,,,
LAW,Beilert Valance,Target: Vader,Hyperspace Foil,,,,,
LAW,Ben Solo,Facing the Light,Hyperspace,,,,,
LAW,Ben Solo,Facing the Light,Standard,,,,,
LAW,Ben Solo,Facing the Light,Hyperspace Foil,,,,,
LAW,Benthic “Two Tubes”,The War Has Just Begun,Standard,,,,,
LAW,Benthic “Two Tubes”,The War Has Just Begun,Hyperspace,,,,,
LAW,Benthic “Two Tubes”,The War Has Just Begun,Hyperspace Foil,,,,,
LAW,Betrayed Trust,,Hyperspace,,,,,
LAW,Betrayed Trust,,Hyperspace Foil,,,,,
LAW,Betrayed Trust,,Standard,,,,,
LAW,Bib Fortuna,Die Wanna Wanga?,Hyperspace,,,,,
LAW,Bib Fortuna,Die Wanna Wanga?,Hyperspace Foil,,,,,
LAW,Bib Fortuna,Die Wanna Wanga?,Standard,,,,,
LAW,Bith Brute,,Standard,,,,,
LAW,Bith Brute,,Hyperspace,,,,,
LAW,Bith Brute,,Hyperspace Foil,,,,,
LAW,Bix Caleen,Selling Scrap,Standard,,,,,
LAW,Bix Caleen,Selling Scrap,Hyperspace Foil,,,,,
LAW,Bix Caleen,Selling Scrap,Hyperspace,,,,,
LAW,Black Sun Cabalist,,Standard,,,,,
LAW,Black Sun Cabalist,,Hyperspace Foil,,,,,
LAW,Black Sun Cabalist,,Hyperspace,,,,,
LAW,Black Sun Patroller,,Hyperspace,,,,,
LAW,Black Sun Patroller,,Standard,,,,,
LAW,Black Sun Patroller,,Hyperspace Foil,,,,,
LAW,Boba Fett,For a Price,Hyperspace,,,,,
LAW,Boba Fett,For a Price,Serialized Prestige,,,,,
LAW,Boba Fett,Krayt's Claw Commander,Standard,,,,,
LAW,Boba Fett,For a Price,Foil Prestige,,,,,
LAW,Boba Fett,For a Price,Standard,,,,,
LAW,Boba Fett,For a Price,Standard Prestige,,,,,
LAW,Boba Fett,For a Price,Hyperspace Foil,,,,,
LAW,Boba Fett,Krayt's Claw Commander,Showcase,,,,,
LAW,Boba Fett,Krayt's Claw Commander,Hyperspace,,,,,
LAW,Bodhi Rook,Creating a Diversion,Serialized Prestige,,,,,
LAW,Bodhi Rook,Creating a Diversion,Foil Prestige,,,,,
LAW,Bodhi Rook,Creating a Diversion,Standard,,,,,
LAW,Bodhi Rook,Creating a Diversion,Standard Prestige,,,,,
LAW,Bodhi Rook,Creating a Diversion,Hyperspace,,,,,
LAW,Bodhi Rook,Creating a Diversion,Hyperspace Foil,,,,,
LAW,Boonta Eve Flagbearer,,Standard,,,,,
LAW,Boonta Eve Flagbearer,,Hyperspace,,,,,
LAW,Boonta Eve Flagbearer,,Hyperspace Foil,,,,,
LAW,Bossk,Join Our Merry Band,Standard,,,,,
LAW,Bossk,Join Our Merry Band,Serialized Prestige,,,,,
LAW,Bossk,Join Our Merry Band,Foil Prestige,,,,,
LAW,Bossk,Join Our Merry Band,Standard Prestige,,,,,
LAW,Bossk,Join Our Merry Band,Hyperspace,,,,,
LAW,Bossk,Join Our Merry Band,Hyperspace Foil,,,,,
LAW,Bracca Shipbreaker,,Hyperspace,,,,,
LAW,Bracca Shipbreaker,,Standard,,,,,
LAW,Bracca Shipbreaker,,Hyperspace Foil,,,,,
LAW,Broken Horn,Vizago's Pride,Hyperspace,,,,,
LAW,Broken Horn,Vizago's Pride,Standard,,,,,
LAW,Broken Horn,Vizago's Pride,Hyperspace Foil,,,,,
LAW,BT-1,Blastomech,Hyperspace,,,,,
LAW,BT-1,Blastomech,Hyperspace Foil,,,,,
LAW,BT-1,Blastomech,Standard,,,,,
LAW,C-3PO,Translation Protocol,Serialized Prestige,,,,,
LAW,C-3PO,Translation Protocol,Hyperspace,,,,,
LAW,C-3PO,Translation Protocol,Foil Prestige,,,,,
LAW,C-3PO,Translation Protocol,Standard Prestige,,,,,
LAW,C-3PO,Translation Protocol,Hyperspace Foil,,,,,
LAW,C-3PO,Translation Protocol,Standard,,,,,
LAW,Cad Bane,Now It's My Turn,Serialized Prestige,,,,,
LAW,Cad Bane,Now It's My Turn,Foil Prestige,,,,,
LAW,Cad Bane,Now It's My Turn,Standard Prestige,,,,,
LAW,Cad Bane,Now It's My Turn,Hyperspace,,,,,
LAW,Cad Bane,Now It's My Turn,Hyperspace Foil,,,,,
LAW,Cad Bane,Now It's My Turn,Standard,,,,,
LAW,Callous Bounty Hunter,,Standard,,,,,
LAW,Callous Bounty Hunter,,Hyperspace Foil,,,,,
LAW,Callous Bounty Hunter,,Hyperspace,,,,,
LAW,Canto Bight,,Standard,,,,,
LAW,Canto Bight,,Hyperspace,,,,,
LAW,Canto Bight Security,,Standard,,,,,
LAW,Canto Bight Security,,Hyperspace,,,,,
LAW,Canto Bight Security,,Hyperspace Foil,,,,,
LAW,Canyon Frontrunner,,Standard,,,,,
LAW,Canyon Frontrunner,,Hyperspace Foil,,,,,
LAW,Canyon Frontrunner,,Hyperspace,,,,,
LAW,Cartel Heavy Fighter,,Hyperspace Foil,,,,,
LAW,Cartel Heavy Fighter,,Hyperspace,,,,,
LAW,Cartel Heavy Fighter,,Standard,,,,,
LAW,Cassian Andor,Everything For the Rebellion,Standard,,,,,
LAW,Cassian Andor,Everything For the Rebellion,Serialized Prestige,,,,,
LAW,Cassian Andor,Everything For the Rebellion,Foil Prestige,,,,,
LAW,Cassian Andor,Everything For the Rebellion,Standard Prestige,,,,,
LAW,Cassian Andor,Everything For the Rebellion,Hyperspace,,,,,
LAW,Cassian Andor,Everything For the Rebellion,Hyperspace Foil,,,,,
LAW,Cavern Angels X-Wing,,Hyperspace,,,,,
LAW,Cavern Angels X-Wing,,Standard,,,,,
LAW,Cavern Angels X-Wing,,Hyperspace Foil,,,,,
LAW,Champion's KT9 Podracer,,Standard,,,,,
LAW,Champion's KT9 Podracer,,Hyperspace Foil,,,,,
LAW,Champion's KT9 Podracer,,Hyperspace,,,,,
LAW,Chewbacca,Mighty Rescuer,Serialized Prestige,,,,,
LAW,Chewbacca,Mighty Rescuer,Foil Prestige,,,,,
LAW,Chewbacca,Hero of Kessel,Standard,,,,,
LAW,Chewbacca,Mighty Rescuer,Standard Prestige,,,,,
LAW,Chewbacca,Mighty Rescuer,Hyperspace,,,,,
LAW,Chewbacca,Hero of Kessel,Showcase,,,,,
LAW,Chewbacca,Hero of Kessel,Hyperspace,,,,,
LAW,Chewbacca,Mighty Rescuer,Hyperspace Foil,,,,,
LAW,Chewbacca,Mighty Rescuer,Standard,,,,,
LAW,Chio Fain,Four-Armed Slicer,Standard,,,,,
LAW,Chio Fain,Four-Armed Slicer,Hyperspace,,,,,
LAW,Chio Fain,Four-Armed Slicer,Hyperspace Foil,,,,,
LAW,Chirrut Îmwe,I Don't Need Luck,Serialized Prestige,,,,,
LAW,Chirrut Îmwe,I Don't Need Luck,Foil Prestige,,,,,
LAW,Chirrut Îmwe,I Don't Need Luck,Standard Prestige,,,,,
LAW,Chirrut Îmwe,I Don't Need Luck,Standard,,,,,
LAW,Chirrut Îmwe,I Don't Need Luck,Hyperspace,,,,,
LAW,Chirrut Îmwe,I Don't Need Luck,Hyperspace Foil,,,,,
LAW,Choke on Aspirations,,Standard,,,,,
LAW,Choke on Aspirations,,Hyperspace,,,,,
LAW,Choke on Aspirations,,Hyperspace Foil,,,,,
LAW,Chopper,Spectre Three,Standard,,,,,
LAW,Chopper,Spectre Three,Serialized Prestige,,,,,
LAW,Chopper,Spectre Three,Foil Prestige,,,,,
LAW,Chopper,Spectre Three,Standard Prestige,,,,,
LAW,Chopper,Spectre Three,Hyperspace,,,,,
LAW,Chopper,Spectre Three,Hyperspace Foil,,,,,
LAW,Cinta Kaz,Stone Cold and Fearless,Standard,,,,,
LAW,Cinta Kaz,Stone Cold and Fearless,Hyperspace,,,,,
LAW,Cinta Kaz,Stone Cold and Fearless,Hyperspace Foil,,,,,
LAW,Circuit Challenger,,Standard,,,,,
LAW,Circuit Challenger,,Hyperspace Foil,,,,,
LAW,Circuit Challenger,,Hyperspace,,,,,
LAW,Citadel Research Center,,Standard,,,,,
LAW,Citadel Research Center,,Hyperspace,,,,,
LAW,Citadel Research Center,,Hyperspace Foil,,,,,
LAW,Cloud-Rider Veteran,,Hyperspace,,,,,
LAW,Cloud-Rider Veteran,,Standard,,,,,
LAW,Cloud-Rider Veteran,,Hyperspace Foil,,,,,
LAW,Coaxium Mine,,Standard,,,,,
LAW,Coaxium Mine,,Hyperspace,,,,,
LAW,Collateral Damage,,Hyperspace,,,,,
LAW,Collateral Damage,,Standard,,,,,
LAW,Collateral Damage,,Hyperspace Foil,,,,,
LAW,Combat Exercise,,Hyperspace,,,,,
LAW,Combat Exercise,,Hyperspace Foil,,,,,
LAW,Combat Exercise,,Standard,,,,,
LAW,Commence the Festivities,,Hyperspace,,,,,
LAW,Commence the Festivities,,Standard,,,,,
LAW,Commence the Festivities,,Hyperspace Foil,,,,,
LAW,Common Cause,,Hyperspace,,,,,
LAW,Common Cause,,Hyperspace Foil,,,,,
LAW,Common Cause,,Standard,,,,,
LAW,Contested Caverns,,Standard,,,,,
LAW,Contested Caverns,,Hyperspace,,,,,
LAW,Conveyex Security Captain,,Standard,,,,,
LAW,Conveyex Security Captain,,Hyperspace,,,,,
LAW,Conveyex Security Captain,,Hyperspace Foil,,,,,
LAW,Credit,,Hyperspace,,,,,
LAW,Credit,,Standard,,,,,
LAW,Criminal Contact,,Hyperspace Foil,,,,,
LAW,Criminal Contact,,Hyperspace,,,,,
LAW,Criminal Contact,,Standard,,,,,
LAW,Cutthroat Podracer,,Hyperspace,,,,,
LAW,Cutthroat Podracer,,Standard,,,,,
LAW,Cutthroat Podracer,,Hyperspace Foil,,,,,
LAW,Daimyo's Palace,,Standard,,,,,
LAW,Daimyo's Palace,,Hyperspace,,,,,
LAW,Daring Delve,,Hyperspace,,,,,
LAW,Daring Delve,,Standard,,,,,
LAW,Daring Delve,,Hyperspace Foil,,,,,
LAW,Darth Vader,Unstoppable,Standard,,,,,
LAW,Darth Vader,Unstoppable,Showcase,,,,,
LAW,Darth Vader,Unstoppable,Hyperspace,,,,,
LAW,Defiant Hammerhead,,Standard,,,,,
LAW,Defiant Hammerhead,,Hyperspace,,,,,
LAW,Defiant Hammerhead,,Hyperspace Foil,,,,,
LAW,Defiant Scrapper,,Standard,,,,,
LAW,Defiant Scrapper,,Hyperspace,,,,,
LAW,Defiant Scrapper,,Hyperspace Foil,,,,,
LAW,Dengar,Take Your Shot,Standard,,,,,
LAW,Dengar,Take Your Shot,Hyperspace,,,,,
LAW,Dengar,Take Your Shot,Hyperspace Foil,,,,,
LAW,Devaronian Doorbuster,,Hyperspace,,,,,
LAW,Devaronian Doorbuster,,Hyperspace Foil,,,,,
LAW,Devaronian Doorbuster,,Standard,,,,,
LAW,Director Krennic,Amidst My Achievement,Showcase,,,,,
LAW,Director Krennic,Amidst My Achievement,Standard,,,,,
LAW,Director Krennic,Amidst My Achievement,Hyperspace,,,,,
LAW,Display Piece,,Standard,,,,,
LAW,Display Piece,,Hyperspace,,,,,
LAW,Display Piece,,Hyperspace Foil,,,,,
LAW,Doctor Aphra,Digging For Answers,Hyperspace,,,,,
LAW,Doctor Aphra,Digging For Answers,Standard,,,,,
LAW,Doctor Aphra,Digging For Answers,Hyperspace Foil,,,,,
LAW,Dogged Pursuers,,Hyperspace,,,,,
LAW,Dogged Pursuers,,Standard,,,,,
LAW,Dogged Pursuers,,Hyperspace Foil,,,,,
LAW,Double-Cross,,Hyperspace,,,,,
LAW,Double-Cross,,Hyperspace Foil,,,,,
LAW,Double-Cross,,Standard,,,,,
LAW,Droid Laser Turret,,Standard,,,,,
LAW,Droid Laser Turret,,Hyperspace,,,,,
LAW,Droid Laser Turret,,Hyperspace Foil,,,,,
LAW,Enfys Nest,Until We Can Go No Higher,Standard,,,,,
LAW,Enfys Nest,Until We Can Go No Higher,Showcase,,,,,
LAW,Enfys Nest,Until We Can Go No Higher,Hyperspace,,,,,
LAW,Enfys Nest's Helmet,,Hyperspace,,,,,
LAW,Enfys Nest's Helmet,,Standard,,,,,
LAW,Enfys Nest's Helmet,,Hyperspace Foil,,,,,
LAW,Every Day,More Lies,Hyperspace,,,,,
LAW,Every Day,More Lies,Standard,,,,,
LAW,Every Day,More Lies,Hyperspace Foil,,,,,
LAW,Expendable Mercenary,,Hyperspace,,,,,
LAW,Expendable Mercenary,,Hyperspace Foil,,,,,
LAW,Expendable Mercenary,,Standard,,,,,
LAW,Experience,,Hyperspace,,,,,
LAW,Experience,,Standard,,,,,
LAW,Ezra Bridger,Spectre Six,Serialized Prestige,,,,,
LAW,Ezra Bridger,Spectre Six,Foil Prestige,,,,,
LAW,Ezra Bridger,Spectre Six,Standard Prestige,,,,,
LAW,Ezra Bridger,Spectre Six,Hyperspace,,,,,
LAW,Ezra Bridger,Spectre Six,Standard,,,,,
LAW,Ezra Bridger,Spectre Six,Hyperspace Foil,,,,,
LAW,Fear and Dead Men,,Hyperspace,,,,,
LAW,Fear and Dead Men,,Standard,,,,,
LAW,Fear and Dead Men,,Hyperspace Foil,,,,,
LAW,Fett's Firespray,In Pursuit,Standard,,,,,
LAW,Fett's Firespray,In Pursuit,Serialized Prestige,,,,,
LAW,Fett's Firespray,In Pursuit,Foil Prestige,,,,,
LAW,Fett's Firespray,In Pursuit,Standard Prestige,,,,,
LAW,Fett's Firespray,In Pursuit,Hyperspace Foil,,,,,
LAW,Fett's Firespray,In Pursuit,Hyperspace,,,,,
LAW,Finn,Looking Closer,Hyperspace,,,,,
LAW,Finn,Looking Closer,Standard,,,,,
LAW,Finn,Looking Closer,Hyperspace Foil,,,,,
LAW,Fire Across the Galaxy,,Hyperspace Foil,,,,,
LAW,Fire Across the Galaxy,,Hyperspace,,,,,
LAW,Fire Across the Galaxy,,Standard,,,,,
LAW,Flash the Vents,,Hyperspace,,,,,
LAW,Flash the Vents,,Standard,,,,,
LAW,Flash the Vents,,Hyperspace Foil,,,,,
LAW,Follower of the Code,,Hyperspace,,,,,
LAW,Follower of the Code,,Hyperspace Foil,,,,,
LAW,Follower of the Code,,Standard,,,,,
LAW,From a Certain Point of View,,Hyperspace Foil,,,,,
